Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Harassment,20181713,09/22/2018 - 8:25pm,09/22/2018,1540 UNIVERSITY DRIVE - KROGER FIELD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Criminal Mischief,CSA20181342,09/22/2018 - 6:54pm,09/22/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Drug Violations,CSA20181355,09/22/2018 - 3:45pm,09/22/2018,340 HILLTOP AVENUE - JOHNSON HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Theft,CSA20181353,09/19/2018 - 5:00pm,09/22/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Alcohol Intoxication,LPD201800000N773513,09/22/2018 - 1:18am,09/22/2018,SOUTH LIMESTONE STREET/EAST MAXWELL STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE; DISORDERLY CONDUCT 2ND DEGREE,No,Closed - Lexington Police Report
Theft,20181742,09/22/2018 - 11:00pm,09/22/2018,"440 HILLTOP AVENUE - THE 90, TACO BELL","THEFT BY UNLAWFUL TAKING - FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open
Drug Violations,201821034,09/22/2018 - 3:47pm,09/22/2018,340 HILLTOP AVENUE - JOHNSON HALL,POSSESSION OF MARIJUANA,Yes,Closed
Alcohol Intoxication,201821046,09/22/2018 - 8:18pm,09/22/2018,SOUTH LIMESTONE STREET - NEAR PETERSON SERVICE BUILDING,ALCOHOL INTOXICATION,No,Closed
Assault,20181705,09/21/2018 - 4:29am,09/21/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Cleared By Arrest
Assault,20181706,09/21/2018 - 2:45am,09/21/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed
Drug Violations,201820948,09/21/2018 - 9:16pm,09/21/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION CONTROLLED SUBSTANCE (METHAMPHETAMINE),No,Closed
Drug Violations,201820949,09/21/2018 - 7:55pm,09/21/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed - CSA
Assault,CSA20181348,09/21/2018 - 2:08pm,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181347,09/21/2018 - 12:50pm,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181346,09/21/2018 - 7:48am,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20181345,09/21/2018 - 7:43am,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
All Other Offenses,CSA20181344,09/21/2018 - 6:22pm,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING; HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181343,09/21/2018 - 10:58am,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Terroristic Threatening,CSA20181341,09/21/2018 - 9:21am,09/21/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING; MENACING,No,Closed - CSA
Alcohol Intoxication,CSA20181356,09/20/2018 - 11:00pm,09/21/2018,361 HUGUELET DRIVE - DONOVAN HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Drug Violations,CSA20181354,09/21/2018 - 9:30pm,09/21/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Alcohol Intoxication,LPD201800000N801551,09/21/2018 - 3:15am,09/21/2018,SOUTH LIMESTONE STREET/PINE STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Closed - Lexington Police Report
Drug Violations,LPD201800000N802902,09/21/2018 - 1:16am,09/21/2018,319 SOUTH LIMESTONE STREET,POSSESSION OF MARIJUANA; DISORDERLY CONDUCT 2ND DEGREE,No,Closed - Lexington Police Report
Theft,20181698,09/19/2018 - 6:55pm,09/20/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Assault,20181696,09/19/2018 - 11:54pm,09/20/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Open
All Other Offenses,CSA20181333,09/20/2018 - 5:22am,09/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Theft,20181699,09/20/2018 - 12:15pm,09/20/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING ALL OTHERS $500 OR MORE BUT U/$10,000",No,Closed - CSA
Liquor Law Violation,CSA20181340,09/20/2018 - 12:00am,09/20/2018,340 HILLTOP AVENUE - JOHNSON HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X7,Yes,Closed - CSA
All Other Offenses,CSA20181339,09/20/2018 - 2:15pm,09/20/2018,456 ROSE STREET - CHI OMEGA HOUSE,HARASSING COMMUNICATIONS; STALKING,Yes,
Assault,CSA20181338,09/20/2018 - 3:05pm,09/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT; CRIMINAL MISCHIEF,No,Closed - CSA
Assault,CSA20181336,09/20/2018 - 12:09pm,09/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Assault,CSA20181337,09/20/2018 - 12:40pm,09/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181335,09/20/2018 - 6:27pm,09/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181334,09/20/2018 - 7:10pm,09/20/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Public Intoxication,LPD201800000N800928,09/20/2018 - 9:30am,09/20/2018,SOUTH LIMESTONE STREET/ E MAXWELL STREET,PUBLIC INTOXICATION CONTROLLED SUBSTANCE (EXCLUDES ALCOHOL),No,Closed - Lexington Police Report
Drug Violations,20181685,09/19/2018 - 12:01am,09/19/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,DRUG PARAPHERNALIA-BUY/POSSESS; PRESCRIPTION CONTROLLED SUBSTANCE NOT IN PROPER CONTAINER 2ND OFFENSE; PRESCRIPTION CONTROLLED SUBSTANCE NOT IN PROPER CONTAINER 1ST OFFENSE,No,Citation issued
Terroristic Threatening,20181695,09/19/2018 - 10:00pm,09/19/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed
Theft,20181690,09/17/2018 - 3:30pm,09/19/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Theft,CSA20181332,09/19/2018 - 2:00pm,09/19/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Drug Violations,CSA20181331,09/19/2018 - 6:30pm,09/19/2018,1120 UNIVERSITY DRIVE - LEWIS HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
Theft,20181700,09/19/2018 - 12:30pm,09/19/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Open
Theft,LPD201800184171,09/19/2018 - 5:00pm,09/19/2018,441 ROSE LANE,THEFT BY UNLAWFUL TAKING - FIREARM FROM VEHICLE,No,Closed - Lexington Police Report
Drug Violations,201820588,09/18/2018 - 2:00am,09/18/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE,No,Closed
Drug Violations,201820643,09/18/2018 - 3:42pm,09/18/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Harassment,20181684,09/18/2018 - 4:39pm,09/18/2018,740 SOUTH LIMESTONE - KY CLINIC,HARASSMENT- NO PHYSICAL CONTACT,No,Closed
Harassment,CSA20181330,09/18/2018 - 12:07pm,09/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20181329,09/18/2018 - 6:25pm,09/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181328,09/18/2018 - 8:21pm,09/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181327,09/18/2018 - 8:49pm,09/18/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,CSA20181326,09/17/2018 - 9:45pm,09/18/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Assault,201820750,09/18/2018 - 4:47pm,09/18/2018,ELKINS ALLEY - BETWEEN CALVARY BAPTIST CHURCH & UK PEDIATRICS,ASSAULT,No,Closed
Theft,20181687,09/18/2018 - 5:00pm,09/18/2018,800 ROSE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT U/$10,000; CRIMINAL MISCHIEF 3RD DEGREE",No,Closed
DUI,20181674,09/17/2018 - 1:30am,09/17/2018,ADMINISTRATION DRIVE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08 (AGGRAVATED CIRCUMSTANCES) 1ST OFFENSE; DISREGARD TRAFFIC REGULATION-1ST OFFENSE,No,Cleared By Arrest
Alcohol Intoxication,201820362,09/17/2018 - 12:18am,09/17/2018,1451 UNIVERSITY DRIVE - GOOD BARN PARKING LOT,ALCOHOL INTOXICATION,No,Closed
Alcohol Intoxication,LPD201800000N802093,09/17/2018 - 6:35pm,09/17/2018,SOUTH LIMESTONE STREET/E. MAXWELL STREET,ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFFENSE WITHIN 12 MONTHS,No,Closed - Lexington Police Report
Assault,CSA20181314,09/17/2018 - 1:52am,09/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,20181679,09/17/2018 - 6:34pm,09/17/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF MARIJUANA; ILLEGAL POSSESSION OF LEGEND DRUG,No,Closed
Assault,CSA20181325,09/17/2018 - 10:07pm,09/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181324,09/17/2018 - 4:20pm,09/17/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181323,09/17/2018 - 8:51pm,09/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20181322,09/17/2018 - 7:52pm,09/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181321,09/17/2018 - 10:48am,09/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181320,09/17/2018 - 9:29am,09/17/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Liquor Law Violation,CSA20181319,09/16/2018 - 11:45pm,09/17/2018,703 SPORTS CENTER DRIVE - WOODLAND GLEN IV,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Criminal Mischief,CSA20181318,09/17/2018 - 8:15pm,09/17/2018,740 WOODLAND AVENUE - SMITH HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Harassment,CSA20181317,09/09/2018 - 12:00am,09/17/2018,625 SOUTH LIMESTONE STREET - GRADUATE HOUSING,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Sex Offenses,CSA20181316,09/17/2018 - 8:30pm,09/17/2018,693 SPORTS CENTER DRIVE - WOODLAND GLEN V,RAPE; DATING VIOLENCE,Yes,Closed - CSA
Assault,CSA20181363,09/25/2018 - 12:00am,09/17/2018,"ON CAMPUS - VARIOUS LOCATIONS, UNSPECIFIED",ASSAULT - DATING VIOLENCE,No,Closed - CSA
Theft,20181760,09/17/2018 - 5:15pm,09/17/2018,740 SOUTH LIMESTONE STREET - KY CLINIC,THEFT BY UNLAWFUL TAKING - FROM BUILDING U/$500,No,Open
Harassing Communications,20181673,09/16/2018 - 8:50pm,09/16/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,HARASSING COMMUNICATIONS,No,Closed
Assault,20181671,09/16/2018 - 3:50pm,09/16/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed
Robbery,201820410,09/16/2018 - 2:30am,09/16/2018,333 SOUTH LIMESTONE - SIDEWALK AREA AND ROADWAY,ASSAULT; ROBBERY,No,Closed - CSA
All Other Offenses,20181667A,09/16/2018 - 12:58am,09/16/2018,NICHOLASVILLE ROAD /ARCADIA,"FLEEING OR EVADING POLICE, 1ST DEGREE MOTOR VEHICLE; RECKLESS DRIVING",No,Cleared By Arrest
Drug Violations,20181667B,09/16/2018 - 12:58am,09/16/2018,NICHOLASVILLE ROAD /ARCADIA,POSSESSION OF MARIJUANA; WANTON ENDANGERMENT-1ST DEGREE POLICE OFFICER,No,Cleared By Arrest
Criminal Mischief,CSA20181312,09/16/2018 - 12:50pm,09/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Assault,CSA20181313,09/16/2018 - 1:57am,09/16/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Liquor Law Violation,CSA20181307,09/15/2018 - 11:45pm,09/16/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X2,Yes,Closed - CSA
Harassment,CSA20181306,09/16/2018 - 9:45pm,09/16/2018,740 WOODLAND AVENUE - SMITH HALL,HARASSMENT-NO PHYSICAL CONTACT; THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Drug Violations,20181668,09/15/2018 - 9:30pm,09/16/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,POSSESSION OF MARIJUANA,Yes,Open
Harassment,201820346,09/15/2018 - 4:06am,09/15/2018,OFF CAMPUS,INCIDENT REPORTED TO UKPD.  LEXINGTON POLICE JURISDICTION.  HARASSMENT.,No,Closed
DUI,201820358,09/15/2018 - 1:55pm,09/15/2018,600 COOPER DRIVE,DRIVING UNDER THE INFLUENCE,No,Closed
Theft,20181663,09/15/2018 - 6:45am,09/15/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING CONTROLLED SUBSTANCE U/$10,000",No,Closed
Theft,20181664,09/15/2018 - 9:55am,09/15/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Closed
Public Intoxication,LPD201800179694,09/15/2018 - 12:31pm,09/15/2018,SOUTH LIMESTONE STREET/PINE STREET,PUBLIC INTOXICATION CONTROLLED SUBSTANCE (EXCLUDES ALCOHOL),No,Closed - Lexington Police Report
Theft,LPD201800179843,09/15/2018 - 5:04pm,09/15/2018,1540 UNIVERSITY DRIVE,THEFT BY UNLAWFUL TAKING OR DISP ALL OTHERS U/$500,No,Closed - Lexington Police Report
Assault,CSA20181311,09/15/2018 - 10:20pm,09/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181310,09/15/2018 - 8:26am,09/15/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Liquor Law Violation,CSA20181308,09/14/2018 - 8:30pm,09/15/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X7,Yes,Closed - CSA
Harassment,CSA20181303,09/14/2018 - 11:40pm,09/15/2018,409 SOUTH LIMESTONE STREET - PARKING STRUCTURE #5,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,CSA20181315,09/15/2018 - 9:30pm,09/15/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed - CSA
All Other Offenses,20181662,09/10/2018 - 3:00pm,09/15/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,UNAUTHORIZED USE OF MOTOR VEHICLE -1ST OFFENSE,No,Open
Theft,20181677,09/15/2018 - 9:00am,09/15/2018,329 COLUMBIA TERRACE - KAPPA ALPHA THETA SORORITY,"THEFT BY UNLAWFUL TAKING CONTROLLED SUBSTANCE U/$10,000",Yes,Open
Public Intoxication,LPD201800000N800920,09/15/2018 - 12:33pm,09/15/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,PUBLIC INTOXICATION CONTROLLED SUBSTANCE (EXCLUDES ALCOHOL),No,Closed - Lexington Police Report
Motor Vehicle Theft,LPD201800179473,09/14/2018 - 10:30pm,09/15/2018,"1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL, EMERGENCY ROOM ROUNDABOUT","THEFT BY UNLAWFUL TAKING AUTO - $10,000 OR MORE BUT U/$1,000,000",No,Closed - Lexington Police Report
Theft,20181694,09/15/2018 - 12:00pm,09/15/2018,"344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES U/$500,No,Closed
All Other Offenses,CSA20181301,09/14/2018 - 3:14am,09/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Assault,CSA20181300,09/13/2018 - 9:58pm,09/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,201820293,09/14/2018 - 4:02pm,09/14/2018,"ON CAMPUS - VARIOUS LOCATIONS, UNSPECIFIED",HARASSMENT-NO PHYSICAL CONTACT,No,Closed
Theft,20181652,09/14/2018 - 3:50pm,09/14/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open
Theft,20181654,09/14/2018 - 5:30pm,09/14/2018,401 HILLTOP AVENUE - WT YOUNG LIBRARY,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open
All Other Offenses,201820317,09/14/2018 - 7:00pm,09/14/2018,ON CAMPUS - UNKNOWN EXACT LOCATION,INTENT TO DEFRAUD,No,Closed - CSA
All Other Offenses,20181657,09/14/2018 - 12:46am,09/14/2018,"326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER, OUTSIDE","FLEEING OR EVADING POLICE, 2ND DEGREE ON FOOT",No,Cleared By Arrest
Theft,20181658,09/14/2018 - 10:30pm,09/14/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT OF PROPERTY MISLAID OR DELIVERED BY MISTAKE,No,Closed
Harassment,CSA20181309,09/14/2018 - 8:15pm,09/14/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Drug Violations,CSA20181305,09/14/2018 - 10:30pm,09/14/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,ALLEGATION OF DRUG VIOLATION - MARIJUANA X4,Yes,Closed - CSA
Drug Violations,CSA20181304,09/14/2018 - 11:45pm,09/14/2018,650 WOODLAND AVENUE - WOODLAND GLEN II,ALLEGATION OF DRUG VIOLATION - MARIJUANA X2,Yes,Closed - CSA
Alcohol Intoxication,CSA20181302,09/14/2018 - 1:40am,09/14/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Theft,LPD201800178844,08/12/2018 - 8:00am,09/14/2018,800 ROSE STREET - CHANDLER HOSPITAL,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,No,Closed - Lexington Police Report
Assault,CSA20181297,09/13/2018 - 3:41am,09/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Sex Offenses,20181648,09/13/2018 - 10:47pm,09/13/2018,ON CAMPUS - RESIDENCE HALL,"RAPE, 1ST DEGREE",Yes,Closed
Harassing Communications,20181647,09/14/2018 - 8:34am,09/13/2018,340 HILLTOP AVENUE - JOHNSON HALL,HARASSING COMMUNICATIONS,Yes,Closed
Assault,20181645,09/10/2018 - 8:00am,09/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed - Cleared By Exception
Assault,CSA20181299,09/13/2018 - 3:20pm,09/13/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Theft,LPD2018178332,09/08/2018 - 5:00pm,09/13/2018,125 AVENUE OF CHAMPIONS - BIKE RACK,"THEFT BY UNLAWFUL TAKING ALL OTHERS OVER $500 BUT U/$10,000",No,Closed - Lexington Police Report
Burglary,20181669,09/13/2018 - 12:00pm,09/13/2018,160 FUNKHOUSER DRIVE - FUNKHOUSER BUILDING,"BURGLARY, 3RD DEGREE; CRIMINAL MISCHIEF 3RD DEGREE",No,Open
Criminal Mischief,20181650,09/13/2018 - 5:45pm,09/13/2018,750 WOODLAND AVENUE - KIRWAN TOWER,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Terroristic Threatening,20180129,09/12/2018 - 10:00am,09/12/2018,800 ROSE STREET - CHANDLER HOSPITAL,TERRORISTIC THREATENING - DOMESTIC VIOLENCE RELATED,No,Closed
Alcohol Intoxication,20181639,09/12/2018 - 11:34am,09/12/2018,"789 SOUTH LIMESTONE STREET - COLLEGE OF PHARMACY, OUTSIDE",ALCOHOL INTOXICATION IN A PUBLIC PLACE 3RD OR > OFFENSE IN 12 MONTHS,No,Cleared By Arrest
Criminal Mischief,20181641,09/12/2018 - 4:41pm,09/12/2018,758 WOODLAND AVENUE - AIR HANDLER IN THE KIRWAN COURTYARD AREA,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,201820176,09/12/2018 - 11:23pm,09/12/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE - UNKNOWN SUBSTANCE,No,Closed
Theft,CSA20181298,09/11/2018 - 6:05pm,09/12/2018,160 AVENUE OF CHAMPIONS - ALUMNI GYM,THEFT BY UNLAWFUL TAKING,No,Closed - CSA
Harassment,CSA20181296,09/11/2018 - 12:00am,09/12/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed - CSA
Drug Violations,CSA20181295,09/12/2018 - 8:45pm,09/12/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,ALLEGATION OF DRUG VIOLATION - MARIJUANA,Yes,Closed - CSA
Harassment,CSA20181292,09/11/2018 - 5:42am,09/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181291,09/11/2018 - 10:36pm,09/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Theft,20181634,08/27/2018 - 6:00pm,09/11/2018,1160 UNIVERSITY DRIVE - UNIVERSITY FLATS,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,Yes,Closed
Theft,20181635,09/11/2018 - 11:40am,09/11/2018,AVENUE OF CHAMPIONS - WILDCAT PANTRY,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Closed
Drug Violations,201820086,09/11/2018 - 4:22pm,09/11/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Theft,20181638,09/11/2018 - 1:37pm,09/11/2018,140 PATTERSON DRIVE - WHITE HALL CLASSROOM BUILDING,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,No,Open
Assault,CSA20181293,09/11/2018 - 1:02pm,09/11/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Theft,20181643,09/11/2018 - 9:00am,09/11/2018,"326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER, OUTSIDE",THEFT BY UNLAWFUL TAKING BICYCLES U/$500,No,Closed
Harassment,CSA20181276,09/10/2018 - 11:42pm,09/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181275,09/10/2018 - 11:27pm,09/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20181271,09/10/2018 - 12:10am,09/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
All Other Offenses,CSA20181255,09/10/2018 - 12:41am,09/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,MENACING,No,Closed - CSA
Theft,20181625,08/29/2018 - 8:00am,09/10/2018,179 FUNKHOUSER DRIVE - M.I. KING BUILDING,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Closed
Theft,20181629,09/07/2018 - 5:00pm,09/10/2018,545 ROSE STREET - BRADLEY BUILDING,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500; CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
